sample,true,keep,order,ok,grid,precision,recall,f1,jaccard,hallucination,omission,margin_mu,margin_min,PI
31,flip_h|rotate,flip_h|rotate,flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.2543465696838254,0.9311111111111111
32,flip_v,flip_v|flip_h,flip_v|flip_h,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,2.939037896069137,2.939037896069137,0.9535783365570599
33,flip_h|rotate|flip_v,rotate|flip_v,rotate|flip_v,0,0.09375,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.06622534921037697,-0.1986760476311309,0.9498525073746312
34,flip_v,flip_v|rotate,rotate|flip_v,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.28112266245879614,0.28112266245879614,0.9437939110070258
35,flip_v|flip_h,flip_v|flip_h,flip_v|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.12541422987029538,-0.33897450555410824,0.9488888888888889
36,flip_v,flip_v|rotate,flip_v|rotate,0,0.078125,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.17490369211966605,0.17490369211966605,0.9262672811059908
37,rotate|flip_h|flip_v,flip_h|flip_v,flip_h|flip_v,0,0.234375,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.040813800801261145,-0.12244140240378343,0.9790209790209791
38,flip_h|flip_v|rotate,flip_h|rotate|flip_v,flip_h|flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.09614962371039464,-0.2884488711311839,0.9473684210526315
39,rotate|flip_h,rotate|flip_h,rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.09505971594995888,0.9550561797752809
40,flip_v|flip_h,flip_v|flip_h,flip_v|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.042412435736003395,0.9672897196261683
41,flip_h|flip_v|rotate,rotate|flip_v,flip_v|rotate,0,0.28125,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-0.13743028523230225,-0.4122908556969067,0.8822055137844611
42,rotate|flip_h|flip_v,flip_v|rotate|flip_h,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.06362314035600243,-0.1908694210680073,0.920844327176781
43,flip_h|flip_v|rotate,flip_v|rotate|flip_h,flip_h|flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.17264260196204084,-0.5179278058861225,0.9109947643979057
44,flip_h|rotate|flip_v,flip_v|flip_h|rotate,flip_h|rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.07631757439168811,-0.22895272317506432,0.9518072289156626
45,flip_v,flip_h|flip_v,flip_v|flip_h,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-0.33925123652989164,-0.33925123652989164,0.9929078014184397
46,rotate|flip_h|flip_v,flip_v|rotate|flip_h,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.044373016685955356,-0.13311905005786606,0.9423076923076923
47,flip_h,flip_v|flip_h,flip_h|flip_v,0,0.21875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.06475280304063968,0.06475280304063968,0.9189944134078212
48,rotate,rotate|flip_v,rotate|flip_v,0,0.125,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-0.05348650302970537,-0.05348650302970537,0.9933920704845814
49,flip_v,flip_v|rotate,flip_v|rotate,0,0.296875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.09952240999542461,0.09952240999542461,0.9842696629213483
50,flip_v,flip_v|flip_h|rotate,flip_v|rotate|flip_h,0,0.375,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,1.4213694026050643,1.4213694026050643,0.9498069498069498
