sample,true,geodesic_tasks,geodesic_order,geodesic_ok,geodesic_grid,geodesic_precision,geodesic_recall,geodesic_f1,geodesic_jaccard,geodesic_hallucination,geodesic_omission,stock_tasks,stock_order,stock_ok,stock_grid,stock_precision,stock_recall,stock_f1,stock_jaccard,stock_hallucination,stock_omission,energy_true_min,energy_false_min,energy_margin
11,flip_h|rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.1875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.1875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-3.005723741627813,-3.200893764738526,-0.19517002311071296
12,flip_v,flip_h|flip_v,flip_v|flip_h,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,flip_h|flip_v,flip_v|flip_h,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.475751194495164,-2.5269258805808184,-0.051174686085654564
13,flip_h,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.25,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_v,flip_v,0,0.15625,0.0,0.0,0.0,0.0,1.0,1.0,-2.712167541681838,-3.1440774944954764,-0.4319099528136383
14,flip_v,flip_v|rotate,flip_v|rotate,0,0.140625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,rotate,rotate,0,0.375,0.0,0.0,0.0,0.0,1.0,1.0,-3.14288523162009,-2.886544606104003,0.2563406255160867
15,flip_h|flip_v|rotate,flip_h|flip_v|rotate,flip_h|flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v|rotate,flip_v|rotate,0,0.1875,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.324410323648576,inf,inf
16,flip_v|flip_h|rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,flip_v|flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.910112185283714,inf,inf
17,flip_h,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.28125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.28125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,-2.6321594140906495,-3.222880192753203,-0.5907207786625537
18,flip_h|rotate|flip_v,flip_h|flip_v,flip_h|flip_v,0,0.203125,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,flip_v,flip_v,0,0.25,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-2.9155999053020922,inf,inf
19,flip_v,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.28125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.28125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,-2.7952198331440967,-2.722331376504431,0.07288845663966592
20,rotate|flip_h|flip_v,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|rotate,rotate|flip_h,0,0.03125,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.1674992169925797,inf,inf
21,rotate,flip_v|rotate,rotate|flip_v,0,0.25,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,flip_v|rotate,rotate|flip_v,0,0.25,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.5642307682971994,-2.5919784848488994,-0.02774771655169994
22,flip_v|rotate|flip_h,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.1330407774069826,inf,inf
23,flip_h|rotate|flip_v,flip_h|flip_v|rotate,flip_h|rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,flip_h|rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.0791457769335047,inf,inf
24,flip_v|flip_h,flip_h|flip_v,flip_v|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v,flip_v|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.844529868558246,-1.0997585396127563,1.7447713289454896
25,flip_v|flip_h,flip_h|flip_v|rotate,flip_v|rotate|flip_h,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_v,flip_v,0,0.1875,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-2.7827424358153365,-1.8819924266952652,0.9007500091200713
26,flip_h,flip_h|flip_v,flip_v|flip_h,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,flip_h|flip_v,flip_v|flip_h,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.5804754917525634,-3.2963147354942244,-0.715839243741661
27,rotate|flip_h|flip_v,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|rotate,rotate|flip_h,0,0.15625,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-2.839467125698762,inf,inf
28,flip_v|rotate,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.25,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_v|rotate,flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.888464000417186,-2.6171560240729015,0.2713079763442847
29,flip_h|flip_v,flip_h|flip_v,flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v,flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.733242709309253,-1.0955948908636064,1.6376478184456464
30,rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.15625,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.15625,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,-2.2292457555363643,-2.6449485968980273,-0.415702841361663
31,flip_v,flip_v,flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v,flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.6976158733303874,-1.3808227231873342,1.3167931501430532
32,flip_v|flip_h|rotate,flip_v|rotate,flip_v|rotate,0,0.0625,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,rotate,rotate,0,0.28125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-2.884488381677328,inf,inf
33,flip_h|flip_v,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-3.102680840888817,-3.199417579703944,-0.09673673881512679
34,flip_v|flip_h|rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,flip_v|flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.975226438856147,inf,inf
35,flip_v,flip_v|rotate,rotate|flip_v,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,flip_v,flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.622985841757519,-2.0958317253932637,0.5271541163642555
36,flip_v|rotate|flip_h,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.210633303829099,inf,inf
37,flip_v|rotate|flip_h,flip_h|flip_v,flip_v|flip_h,0,0.203125,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,flip_h,flip_h,0,0.3125,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-3.0319310643307524,inf,inf
38,rotate|flip_h|flip_v,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v|rotate,rotate|flip_v,0,0.09375,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.4373597688852326,inf,inf
39,rotate|flip_v,flip_v|rotate,rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v|rotate,rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.743008948760282,-0.43214823348622644,2.3108607152740555
40,rotate,flip_h|rotate,flip_h|rotate,0,0.3125,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.478083970260504,-1.7324120196507156,0.7456719506097886
41,rotate|flip_v,flip_v|rotate,rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v|rotate,rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.052067067642855,-0.6688959999732211,2.383171067669634
42,flip_v,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.28125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|rotate,flip_h|rotate,0,0.203125,0.0,0.0,0.0,0.0,1.0,1.0,-3.1900592533194185,-3.0194114133905217,0.17064783992889687
43,rotate,flip_h|flip_v|rotate,flip_h|rotate|flip_v,1,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|flip_v|rotate,flip_h|rotate|flip_v,1,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,-2.9141697955907966,-2.5691163217049673,0.3450534738858293
44,flip_v,flip_v|rotate,flip_v|rotate,0,0.109375,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,flip_v|rotate,flip_v|rotate,0,0.109375,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-3.1191190947991787,-2.9605210566781803,0.15859803812099837
45,rotate|flip_h,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.03125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.03125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-2.841148318472591,-3.0091453821459595,-0.16799706367336853
46,flip_v|rotate,flip_h|flip_v|rotate,flip_v|rotate|flip_h,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,flip_v|rotate|flip_h,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-2.8835224367439474,-2.8322539052016014,0.05126853154234601
47,flip_v|flip_h,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.15625,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_v,flip_v,0,0.21875,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-2.8658415354581797,-2.80501107882288,0.06083045663529951
48,flip_v|rotate,flip_v|rotate,flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,rotate,rotate,0,0.0625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-2.847697595271743,-0.7077722079165301,2.139925387355213
49,rotate|flip_h|flip_v,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v,flip_h|flip_v,0,0.09375,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.4380898782791744,inf,inf
50,rotate,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_v|rotate,flip_v|rotate,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.720971284901837,-2.76764848695965,-0.046677202057813005
51,flip_h|flip_v|rotate,flip_h|flip_v|rotate,flip_h|flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v|rotate,flip_v|rotate,0,0.21875,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.417577022737421,inf,inf
52,rotate|flip_v,flip_h|flip_v|rotate,rotate|flip_v|flip_h,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,rotate|flip_v|flip_h,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-3.0723947702087586,-2.820301196333487,0.25209357387527165
53,flip_h|flip_v,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.140625,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.140625,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-3.100156031289163,-2.8625223039461374,0.23763372734302557
54,rotate,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_v|rotate,flip_v|rotate,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.557515621814429,-2.906573873543654,-0.34905825172922533
55,flip_v|rotate,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.03125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v,flip_h|flip_v,0,0.21875,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,-3.279774362931999,-3.1173482174920686,0.16242614543993028
56,flip_h|flip_v|rotate,flip_h|rotate,flip_h|rotate,0,0.15625,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,flip_h|rotate,flip_h|rotate,0,0.15625,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.045096923677872,inf,inf
57,rotate|flip_h,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.15625,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.15625,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-2.804408500775581,-3.143570220073847,-0.3391617192982661
58,flip_h,flip_h|rotate,rotate|flip_h,0,0.125,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,flip_h|rotate,rotate|flip_h,0,0.125,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.528010440918737,-3.0063381606783666,-0.4783277197596294
59,rotate|flip_h|flip_v,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.9553166602100873,inf,inf
60,flip_v|flip_h,flip_h|flip_v|rotate,rotate|flip_v|flip_h,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,rotate|flip_v|flip_h,0,0.21875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-2.9389812354863984,-3.075573798555794,-0.13659256306939538
61,rotate|flip_h,flip_h|rotate,rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,rotate|flip_v|flip_h,0,0.125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-2.936692640164959,0.3362386263792412,3.2729312665442003
62,rotate,flip_v|rotate,rotate|flip_v,0,0.0625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,rotate,rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.3695358639507225,-3.231130306672307,-0.8615944427215845
63,rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_v|rotate,flip_v|rotate,0,0.125,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.9498502276086827,-2.8334082794184385,0.11644194819024412
64,flip_h,flip_h|flip_v,flip_v|flip_h,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,flip_h|flip_v,flip_v|flip_h,0,0.1875,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.577131449680711,-2.9891876735983836,-0.4120562239176726
65,flip_h|rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.09375,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v,flip_v|flip_h,0,0.25,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,-2.988180783232286,-3.1312993075873425,-0.14311852435505656
66,flip_v|flip_h|rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v,flip_v|flip_h,0,0.234375,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.346351503242415,inf,inf
67,rotate|flip_h,flip_h|flip_v|rotate,flip_v|rotate|flip_h,0,0.1875,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h,flip_h,0,0.25,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-3.082198371066751,-1.9345135907251154,1.1476847803416357
68,flip_v|rotate,flip_v|rotate,flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v|rotate,flip_v|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.255681430093009,-1.3821642915185723,1.8735171385744365
69,flip_v|flip_h|rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,flip_v|flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.1047946405172224,inf,inf
70,flip_v|flip_h,flip_h|flip_v|rotate,rotate|flip_v|flip_h,0,0.25,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_v,flip_v,0,0.375,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-2.820408145635121,-1.5874921697834816,1.2329159758516393
71,flip_h,flip_h|flip_v,flip_h|flip_v,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,flip_h|flip_v,flip_h|flip_v,0,0.15625,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.8471362497690187,-2.5403770582111624,0.30675919155785625
72,rotate|flip_v,flip_h|flip_v|rotate,flip_h|rotate|flip_v,0,0.125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,rotate,rotate,0,0.125,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-2.5173608857957888,-3.1013777647660663,-0.5840168789702775
73,flip_v|rotate,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.25,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.25,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-3.0331582025508554,-3.242454363999607,-0.2092961614487514
74,rotate|flip_v,flip_v|rotate,rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v|rotate,rotate|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.0300746754600687,-0.8840332072773398,2.146041468182729
75,flip_v,flip_h|flip_v|rotate,rotate|flip_v|flip_h,0,0.3125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_v|rotate,rotate|flip_v,0,0.125,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,-2.445380745178802,-3.186161587686175,-0.7407808425073732
76,flip_v,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.25,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.25,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,-2.446462200647641,-3.2560282602026476,-0.8095660595550065
77,flip_v|flip_h|rotate,flip_h|flip_v|rotate,flip_v|flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v,flip_v|flip_h,0,0.171875,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-2.951748677403991,inf,inf
78,flip_v|rotate|flip_h,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_v|rotate,flip_v|rotate,0,0.125,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.0022438366021684,inf,inf
79,rotate|flip_h|flip_v,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-2.832814578547208,inf,inf
80,rotate|flip_h|flip_v,flip_h|flip_v|rotate,rotate|flip_h|flip_v,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,rotate,rotate,0,0.09375,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666,-3.123715334725237,inf,inf
81,flip_v|rotate|flip_h,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,flip_h|flip_v|rotate,flip_v|rotate|flip_h,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-3.270356207997759,inf,inf
82,flip_v,flip_h|flip_v|rotate,flip_h|flip_v|rotate,0,0.375,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h,flip_h,0,0.15625,0.0,0.0,0.0,0.0,1.0,1.0,-3.1506903419577874,-2.434719540026369,0.7159708019314186
83,flip_h|rotate,flip_h|rotate,flip_h|rotate,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,rotate,rotate,0,0.0625,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,-2.7698826072473395,-0.9102773987162112,1.8596052085311283
84,flip_h|flip_v|rotate,flip_h|rotate,flip_h|rotate,0,0.1875,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,flip_h|rotate,flip_h|rotate,0,0.1875,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333,-3.064233738011931,inf,inf
85,rotate,flip_h|flip_v|rotate,rotate|flip_h|flip_v,0,0.0625,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,flip_h,flip_h,0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,-3.083803275656594,-2.864423977681448,0.21937929797514588
86,flip_v|flip_h,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.140625,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,flip_v|flip_h|rotate,0,0.140625,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-2.640588005341579,-2.775607624728897,-0.1350196193873181
87,flip_h|rotate,flip_h|flip_v|rotate,flip_h|rotate|flip_v,0,0.125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,flip_h|flip_v|rotate,flip_h|rotate|flip_v,0,0.125,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,-2.8166426271007743,-3.576484952797694,-0.7598423256969196
